Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32
Verantwortung_These_2,V2,15.0,V2_15,"Grundverständnis nötig, kann auch durch Rechtsnorm gegeben sein.",,,,x,,,,,,,,,,,,,,,,,,,,1.0,,"15.  Grundverständnis nötig, kann auch durch Rechtsnorm gegeben sein.",5.0
Verantwortung_These_2,V2,16.0,V2_16,Worauf bezieht sich Transparenz? Wie viel sind Daten wert? Was passiert mit den Daten?,x,,,,,,,,,,,,,,,,,x,,,,,,2.0,,16.  Worauf bezieht sich Transparenz? Wie viel sind Daten wert? Was passiert mit den Daten=,5.0
Verantwortung_These_2,V2,17.0,V2_17,Geschäftsgeheimnisse,,,,,,,,,x,,,,,,,,,,,Geschäftsgeheimnisse als limitierender Faktor des Lösungsraums,,,,2.0,,17.  Geschäftsgeheimnisse,5.0
Verantwortung_These_2,V2,18.0,V2_18,Woher kommt das Vertrauen in Angebote?,,,,,,,,,,,,x,,,,,,,,,,,,1.0,,18.  Woher kommt das Vertrauen in Angebote?,5.0
Verantwortung_These_2,V2,19.0,V2_19,"Transparenz ist steigerbar - wenig, mehr, vollständig",,,,,,,,,,,,,,,x,,,,,,,,,1.0,,"19.  Transparenz ist steigerbar - wenig, mehr, vollständig",5.0
Verantwortung_These_2,V2,20.0,V2_20,"Was sind Anforderungen an Unternehmen? Wenn das nicht definiert ist, gibt es keine Kriterien von Transparenz",,,,,,,,,x,,,,,,,,,,,Klare Formulierung von Anforderungen an Anbieter,,,,2.0,,"20.  Was sind Anforderungen an Unternehmen? Wenn das nicht definiert ist, gibt es keine Kriterien von Transparenz",5.0
Verantwortung_These_2,V2,21.0,V2_21,Informationsfreiheit,,,,,,,,,,,,,x,x,,,,,,,,,,2.0,,21.  Informationsfreiheit,5.0
Verantwortung_These_2,V2,22.0,V2_22,Transparenz als Vorstufe,,,,,,,,,x,,,,,,,,,,,,,,,1.0,,22.  Transparenz als Vorstufe,5.0
Verantwortung_These_2,V2,23.0,V2_23,Von Informations- zu Verstehenssystemen,x,,,,,,,,,,,,,,,,,,,,,,,1.0,,23.  Von Informations- zu Verstehenssystemen,5.0
Verantwortung_These_2,V2,24.0,V2_24,Überforderung,,,,,,,,,,,,,,,,,,,x,,,,,1.0,,24.  Überforderung,5.0
Verantwortung_These_2,V2,25.0,V2_25,Optionen - ist ja/nein eine ausreichende Entscheidung,,,,,,,,,,,,,,,,,,,x,,,,,1.0,,25.  Optionen - ist ja/nein eine ausreichende Entscheidung,5.0
Verantwortung_These_2,V2,26.0,V2_26,Transparenz im Verhältnis zu Eigenverantwortung,,,,,,,,,x,,,,,,,,,,,,,,,1.0,,26.  Transparenz im Verhältnis zu Eigenverantwortung,5.0
Verantwortung_These_2,V2,27.0,V2_27,"Ist Facebook so wichtig, dass der Staat für eine Alternative/Regulierung sorgen muss?",,,,x,,,,,x,x,,,,,,,,,,Staatliche Alternativen,,,,4.0,,"27.  Ist Facebook so wichtig, dass der Staat für eine Alternative/Regulierung sorgen muss?",5.0
Verantwortung_These_2,V2,28.0,V2_28,Informationelle Selbstbestimmung keine Lösung,,,,,,,,,x,,,,x,,,,,,,,,,,2.0,,28.  Informationelle Selbstbestimmung keine Lösung,5.0
Verantwortung_These_2,V2,29.0,V2_29,Medizin → Transparenz/Verantwortung der Ärzte,,,,,,,,,x,,,,,,,,,,,Kodex in Analogie zu ärztlichem Kodex,,,,2.0,,29.  Medizin → Transparenz/ Verantwortung der Ärzte,5.0
Verantwortung_These_2,V2,30.0,V2_30,Materieller Wert von Informations-Transaktionen,,,,,,,,,,,,,,,,,,x,,,,,,1.0,,30.  Materieller Wert von Informations- Transaktionen,5.0
Verantwortung_These_2,V2,31.0,V2_31,"Transparenz als notwendiges Mittel für Verständlichkeit → freie Entscheidung, Wahlfreiheit",,,,,,,,,x,,,,,,,,,,,Wahlfreiheit ermöglichen (aber wie?),,,,2.0,,"31.  Transparenz als notwendiges Mittel für Verständlichkeit → freie Entscheidung, Wahlfreiheit",5.0
Verantwortung_These_2,V2,32.0,V2_32,Andere aushandeln lassen (Beispiel ÖPNV),,,,,,,,,x,,,,,,,,,,,Delegation,,,,2.0,,32.  Andere aushandeln lassen (Beispiel ÖPNV),5.0
Plattformen_These_1,P1,1.0,P1_01,Keine Vertrauensdebatte bei Facebook?,,,,,,,,,,,,x,,,,,,,,,,,,1.0,,1.      Keine Vertrauensdebatte bei Facebook?,8.0
Plattformen_These_1,P1,2.0,P1_02,"Bedingungen, damit man Plattformanbietern vertrauen kann",,,,,,,,,,,,x,,,,,,,,,,,,1.0,,"2.      Bedingungen, damit man Plattformanbietern vertrauen kann",8.0
Plattformen_These_1,P1,3.0,P1_03,Unveräußerliche Rechte,,,,,,,,,,,,,x,,,,,,,,,,,1.0,,3.      unveräußerliche Rechte,8.0
Plattformen_These_1,P1,4.0,P1_04,Welche Maßstäbe haben wir für Vertrauen?,,,,,,,,,,,,x,,,,,,,,,,,,1.0,,4.      Welche Maßstäbe haben wir für Vertrauen?,8.0
Plattformen_These_1,P1,5.0,P1_05,Maßstäbe sind nicht fix,,,,,,,,,,,,,,,,,,,x,,,,,1.0,,5.      Maßstäbe sind nicht fix,8.0
Plattformen_These_1,P1,6.0,P1_06,Vertrauen/Nutzung,,,,,,,,,,,,x,,,,,,,,,,,,1.0,,6.      Vertrauen/Nutzung,8.0
