These,Nr.,Id,Wortmeldung,Wesen des Netzes/ des Internets,Verhältnis real/virtuell,"Gesellschaft, ges. Enwicklung","Regulierung/Regeln, Staat",Kontext eines digitalen Kodex,Chancen/Risiken,"Innovation, Entwicklung",Bedingungen an Lösungen,"Lösungen, Lösungsraum",Institutionen,Menschliche Beziehungen,Vertrauen,Grundrechte,"Werte, Maßstäbe",Grundsätzliches,Begriffsbestimmungen,Machtkonstellationen,"Netzökonomie, Daten als Währung",Unklar,Anzahl
V1,26,V1_26,Digital/analog: welche Werte sollen (weiter)gelten? Wie können Werte in der digitalen Kultur übersetzt werden?,,x,,,,,,,,,,,,x,,,,,,3
V1,27,V1_27,"Ist es sinnvoll, noch über ""das Netz"" zu sprechen?",x,,,,,,,,,,,,,,x,,,,,3
V1,28,V1_28,Selbstverstärkung des Mainstreams,,,x,,,,,,,,,,,,,,,,,2
V1,29,V1_29,Ist das Netz Betrachtungsgegenstand? → Oder nicht viel mehr die Gesellschaft?,x,,x,,x,,,,,,,,,,,x,,,,5
V1,30,V1_30,Von der Informations- zur Netz(werk)gesellschaft?,,,x,,,,,,,,,,,,x,,,,,3
V1,31,V1_31,Aufklärung,,,,,,,,,x,,,,,,,,,,,2
V1,32,V1_32,Transparenz stärkt Verantwortungsgefühl,,,,,,,,,x,,,,,,,,,,,2
V1,33,V1_33,Murray: - wer ist wir? -wieso ist filesharing “unsozial”? -wer spricht? -welche Resonanzräume gibt es?- welche Interessen?,,,x,,,,,,,,,,,,,,,,,2
V1,34,V1_34,"Wer ist ""wir""?",,,,,,,,,,,,,,,x,,,,,2
V1,35,V1_35,"Neues Verständnis von Teilen, Privatsphäre, Arbeiten etc.?",,,x,,,,,,,,,,,,,,,,,2
V1,36,V1_36,Crowd Power oder Werkzeug für totalitäre Strukturen?,x,,,,,,,,,,,,,,,,,,,2
V1,37,V1_37,"Gefahren der ""Gamification""?",,,,,,x,,,,,,,,,,,,,,2
V1,38,V1_38,Crowd Power ohne Straßenkampf,,,x,,,,,,,,,,,,,,,,,2
V1,39,V1_39,Fehlendes direktes Feedback,x,,,,,,,,,,,,,,,,,,,2
V1,40,V1_40,Verdrängung von Formalien,x,,,,,,,,,,,,,,,,,,,2
V1,41,V1_41,Mehr temporäre Verpflichtungen,,,x,,,,,,,,,,,,,,,,,2
V1,42,V1_42,Balance Freiheit/Sicherheit/Verantwortung,,,,,,,,x,,,,,,,,,,,,2
V1,43,V1_43,"Innovation + allgemeine Interessen → Wem gehört das ""Neue""? Wer darf erneuern + das Neue nutzen?",,,,,,,x,,,,,,,,,,,,,2
V1,44,V1_44,Unterschiede zwischen real/virtuell. Sind sie wirklich so groß? Worin liegen sie begründet?,,x,,,,,,,,,,,,,,,,,,2
V1,45,V1_45,Unterschiedliches Verhalten in analoger oder digitaler Welt,,x,,,,,,,,,,,,,,,,,,2
V1,46,V1_46,Sind Werte/soziale Normen 1:1 in die digitale Welt transferierbar?,,x,,,,,,,,,,,,x,,,,,,3
V1,47,V1_47,Spielen ohne Regeln?,x,,,,,,,,,,,,,,,,,,,2
V1,48,V1_48,"Braucht die Digitalisierung eine ""ordnende Instanz""? welche?",,,,x,,,,,,x,,,,,,,,,,3
V1,49,V1_49,An welchen Maßstäben misst sich Verantwortung?,,,,,,,,,,,,,,x,,,,,,2
V1,50,V1_50,Wer hat welche Interessen? → Verantwortung setzt Interessen & Ideen voraus,,,,,,,,,,,,,,,,,x,,,2
V1,51,V1_51,Vielfach neue Kontakt- und Geschäftspartner im Vergleich zu analog,,x,,,,,,,,,,,,,,,,,,2
V1,52,V1_52,Bekenntnis zur Verantwortung,,,,,,,,,x,,,,,,,,,,,2
V1,53,V1_53,"Wie erkenne ich im Netz, dass jemand verantwortlich handelt? Identifikation, Verhalten",x,,,,,,,,,,,,,,,,,,,2
V1,54,V1_54,Kein körperlicher sozialer Kontakt,x,x,x,,,,,,,,,,,,,,,,,4
V1,55,V1_55,Anonymität untergräbt soziale Normen,,,,,,x,,x,,,,,,,,,,,,3
V1,56,V1_56,Entfernung zu nahestehenden Menschen (Virtualisierung des Umgangs),,,,,,x,,,,,x,,,,,,,,,3
V1,57,V1_57,Verantwortung: wo muss/soll auf Anonymität verzichtet werden,,,,,,,,x,,,,,,,,,,,,2
V1,58,V1_58,Eingrenzung sozialer Kontakte auf Gleichgesinnte,,,,,,,,,,,x,,,,,,,,,2
V1,59,V1_59,Nähe zu fernen Menschen,,,,,,,,,,,x,,,,,,,,,2
V1,60,V1_60,Möglichkeit viele Beziehungen gleichzeitig zu pflegen (eher auf niedrigem Niveau),x,,x,,,,,,,,x,,,,,,,,,4
V1,61,V1_61,Direkte Kommunikation weltweit macht das Leben reichhaltiger,,,,,,x,,,,,,,,,,,,,,2
V1,62,V1_62,Soziale Netzwerke virtuell-analog,,x,,,,,,,,,,,,,,,,,,2
V1,63,V1_63,Internet bringt Kulturen zusammen,,,,,,x,,,,,,,,,,,,,,2
V1,64,V1_64,Verantwortung dient der Entlastung,,,,,,,,,,,,,,,,,,,x,2
V1,65,V1_65,Autofahrer benehmen sich anders als in persönlichen Begegnungen,,,,,,,,,,,,,,,x,,,,,2
V1,66,V1_66,"Internet. Kommunikation. Feedback ""direkt"" oder ""indirekt""?",x,,,,,,,,,,,,,,,,,,,2
V1,67,V1_67,Digitale Welt nur Spiegelbild der realen Welt?,,x,,,,,,,,,,,,,,,,,,2
V1,68,V1_68,Dekontextualisierung von Information + Kommunikation,x,,,,,,,,,,,,,,,,,,,2
V1,69,V1_69,Jeder Laie soll zum AGB und Rechtsexperten werden,x,,,x,,,,,,,,,,,,,,,,3
V1,70,V1_70,Das Fremde wird zum gefühlt Privaten,,,,,,,,,,,,,,,x,,,,,2
V1,71,V1_71,Verhalten im Netz - vs. in der realen Welt,,x,,,,,,,,,,,,,,,,,,2
V1,72,V1_72,Verantwortungszuordnung: Was ist im Internet neu?,x,x,,,,,,,,,,,,,,,,,,3
V1,73,V1_73,Verantwortung online geringer als offline,,x,,,,,,,,,,,,,,,,,,2
V1,74,V1_74,Wie neu ist neu + ist neu ein Wert an sich?,,,,,,,,,,,,,,x,,,,,,2
V1,75,V1_75,"Was ist die aktuelle ""Währung""? (Anzahl Facebook-Freunde, Retweets, Blogeinträge etc.?)",,,,,,,,,,,x,,,,,,,x,,3
V1,76,V1_76,"Neue Formen menschlicher Beziehungen (global, echtzeit, persistent)",,,,,,,,,,,x,,,,,,,,,2
V1,77,V1_77,Anreiz durch positive Bestärkung,,,,,,,,,,,,,,,,,,,x,2
V2,1,V2_01,Muss Weihnachten transparent sein?,,,,,,,,x,,,,,,,,,,,,2
V2,2,V2_02,"Alternative muss gegeben sein, sonst keine Selbstbestimmung möglich",,,,,,,,,,,,,,,,,,,x,2
V2,3,V2_03,"Falscher Transparenzbegriff. Informationsüberflutung, Konzentration auf neuralgische Punkte",,,,,,,,,,,,,,,,,,,x,2
V2,4,V2_04,Wo liegen die neuralgischen Punkte?,,,,,,,,,,,,,,,,,,,x,2
V2,5,V2_05,Staatsvertrauen,,,,,,,,,x,x,,,,,,,,,,3
V2,6,V2_06,Was ist die Frage?,,,,,,,,,,,,,,,x,,,,,2
V2,7,V2_07,Keine Transparenz ist auch keine Lösung,,,,,,,,x,,,,,,,,,,,,2
V2,8,V2_08,Welche Transparenz ist grundlegend?,,,,,,,,,,,,,,,,x,,,,2
V2,9,V2_09,Druck zur Selbstverpflichtung durch Verantwortungstransparenz erzeugen,,,,,,,,,x,,,,,,,,,,,2
V2,10,V2_10,Transparenz ist nicht gleich Informiertheit,,,,,,,,,,,,,,,,x,,,,2
V2,11,V2_11,Wann Vertrauen Nutzer Diensten?,,,,,,,,,,,,x,,,,,,,,2
V2,12,V2_12,"Je oligopolistischer/monopolistischer der Markt definiert ist, welche Formen der Kontrolle nötig?",,,,,,,,x,,,,,,,,,,x,,3
V2,13,V2_13,"Vertrauen beruht auf Reziprozität, Design, Marke, Kundenservice, Utilität",,,,,,,,,x,,,x,,,,,,x,,4
V2,14,V2_14,"Transparenz als notwendige Vorraussetzung dafür, dass sich der einzelne entscheiden kann",,,,,,,,,x,,,,,,,,,,,2
V2,15,V2_15,"Grundverständnis nötig, kann auch durch Rechtsnorm gegeben sein.",,,,x,,,,,,,,,,,,,,,,2
V2,16,V2_16,Worauf bezieht sich Transparenz? Wie viel sind Daten wert? Was passiert mit den Daten?,x,,,,,,,,,,,,,,,,,x,,3
V2,17,V2_17,Geschäftsgeheimnisse,,,,,,,,,x,,,,,,,,,,,2
V2,18,V2_18,Woher kommt das Vertrauen in Angebote?,,,,,,,,,,,,x,,,,,,,,2
V2,19,V2_19,"Transparenz ist steigerbar - wenig, mehr, vollständig",,,,,,,,,,,,,,,x,,,,,2
V2,20,V2_20,"Was sind Anforderungen an Unternehmen? Wenn das nicht definiert ist, gibt es keine Kriterien von Transparenz",,,,,,,,,x,,,,,,,,,,,2
V2,21,V2_21,Informationsfreiheit,,,,,,,,,,,,,x,x,,,,,,3
V2,22,V2_22,Transparenz als Vorstufe,,,,,,,,,x,,,,,,,,,,,2
V2,23,V2_23,Von Informations- zu Verstehenssystemen,x,,,,,,,,,,,,,,,,,,,2
V2,24,V2_24,Überforderung,,,,,,,,,,,,,,,,,,,x,2
V2,25,V2_25,Optionen - ist ja/nein eine ausreichende Entscheidung,,,,,,,,,,,,,,,,,,,x,2
V2,26,V2_26,Transparenz im Verhältnis zu Eigenverantwortung,,,,,,,,,x,,,,,,,,,,,2
V2,27,V2_27,"Ist Facebook so wichtig, dass der Staat für eine Alternative/Regulierung sorgen muss?",,,,x,,,,,x,x,,,,,,,,,,4
V2,28,V2_28,Informationelle Selbstbestimmung keine Lösung,,,,,,,,,x,,,,x,,,,,,,3
V2,29,V2_29,Medizin → Transparenz/Verantwortung der Ärzte,,,,,,,,,x,,,,,,,,,,,2
V2,30,V2_30,Materieller Wert von Informations-Transaktionen,,,,,,,,,,,,,,,,,,x,,2
V2,31,V2_31,"Transparenz als notwendiges Mittel für Verständlichkeit → freie Entscheidung, Wahlfreiheit",,,,,,,,,x,,,,,,,,,,,2
V2,32,V2_32,Andere aushandeln lassen (Beispiel ÖPNV),,,,,,,,,x,,,,,,,,,,,2
P1,1,P1_01,Keine Vertrauensdebatte bei Facebook?,,,,,,,,,,,,x,,,,,,,,2
P1,2,P1_02,"Bedingungen, damit man Plattformanbietern vertrauen kann",,,,,,,,,,,,x,,,,,,,,2
P1,3,P1_03,Unveräußerliche Rechte,,,,,,,,,,,,,x,,,,,,,2
P1,4,P1_04,Welche Maßstäbe haben wir für Vertrauen?,,,,,,,,,,,,x,,,,,,,,2
P1,5,P1_05,Maßstäbe sind nicht fix,,,,,,,,,,,,,,,,,,,x,2
P1,6,P1_06,Vertrauen/Nutzung,,,,,,,,,,,,x,,,,,,,,2
P1,7,P1_07,"""Chinese Volunteering""",,,,,,,,,,,,,,,,,x,,,2
P1,8,P1_08,"Man kann sich Vertrauen erkaufen durch Features, Nützlichkeit",,,,,,,,,,,,x,,,,,,,,2
P1,9,P1_09,Soziales Netz als nutzerorganisierte Plattformen,,,,,,,,,x,,,,,,,,,,,2
P1,10,P1_10,Vertrauen als Komplexitätsreduktion,,,,,,,,,,,,x,,,,,,,,2
P1,11,P1_11,Kann Vertrauen delegieren (im Staat) - nicht bei Plattformen,,,,,,,,,,,,x,,,,,,,,2
P1,12,P1_12,Komplexitätsreduktion über Marken,,,,,,,,,x,,,,,,,,,,,2
P1,13,P1_13,Fairness - für Nutzer ist Komplexität gering genug,,,,,,,,,,,,,,,,,,,x,2
P1,14,P1_14,"""Man muss nicht vertrauen, denn es gibt rechtliche Regeln"" ist nicht genannt worden.",,,,x,,,,x,,,,x,,,,,,,,4
P1,15,P1_15,Wertigkeit der Schutzgüter (ist dynamisch),,,,,,,,,,,,,x,,,,,,,2
P1,16,P1_16,Haben wir eine Debatte über Minimalstandards?,,,,,,,,,x,,,,,,,,,,,2
P1,17,P1_17,Wie funktioniert die Entscheidung?,,,,,,,,,,,,,,,,,,,x,2
P1,18,P1_18,Vertrauen als Kundenbindung,,,,,,,,,,,,x,,,,,,,,2
P1,19,P1_19,Wie gestalte ich Erwartungen? z.B. Flugverkehr,,,,,,,,,,,,,,,x,,,,,2
P1,20,P1_20,Modernes Lehnsrecht,,,,,,,,,x,,,,,,x,,,,,3
P1,21,P1_21,Im Netz alles privat- was folgt daraus?,x,,,,,,,,,,,,,,,,,,,2
P1,22,P1_22,Nutzer müssen Plattformen misstrauen,,,,,,,,,x,,,,,,,,,,,2
P1,23,P1_23,Plattformen können ordnende Funktion einnehmen → Beispiel IOS (Datenschutz),,,,,,,,,x,,,,,,,,,,,2
P1,24,P1_24,Plattformen für unterschiedliche Nutzungshandlungen,,,,,,,,,x,,,,,,,,,,,2
P1,25,P1_25,Nicht nur kognitive Kategorie - welche anderen Aspekte spielen eine ROlle,,,,,,,,,,,,,,,,,,,x,2
P1,26,P1_26,"Wenn ausgehandelt wird, was steht nicht zur Verhandlung?",,,,,,,,,,,,,,x,,,,,,2
P1,27,P1_27,Marken als gesellschaftliche Konstruktion,,,x,,,,,,x,,,,,,,,,,,3
P1,28,P1_28,Verantwortung muss korrelieren  mit Erwartung an Verantwortung,,,,,,,,,,,,,,,x,,,,,2
P1,29,P1_29,Straßenkampf in der digitalen Begegnung,x,,,,,,,,,,,,,,,,,,,2
P1,30,P1_30,"Was ist Fairness: Erwartungskonformität, Verlässlichkeit",,,,,,,,,,,,,,,,x,,,,2
P1,31,P1_31,"Vertrauen als ""Währung"", mit der man Utilität bezahlt",x,,,,,,,,,,,x,,,,x,,x,,5
P1,32,P1_32,"Welche Anreize können Plattformanbieter bekommen, um Ordnung zu stiften?",,,,,,,,,x,,,,,,,,,,,2
P1,33,P1_33,Reale Machtkonstruktionen erforschen,,,,,,,,,,,,,,,,,x,,,2
P1,34,P1_34,Nutzer müssen Plattformanbietern vertrauen können,,,,,,,,,,,,x,,,,,,,,2
P1,35,P1_35,Privatisierung öffentlicher Räume,x,,,x,,,,,,,,,,,,,,,,3
P1,36,P1_36,Wer garantiert die Würde (und was ist das?),,,,,,,,,,,,,x,,,,,,,2
P1,37,P1_37,"Vertrauens- und Erwartungshaltung, die nicht enttäuscht werden will?",,,,,,,,,,,,x,,,,,,,,2
P1,38,P1_38,Appellativ: Du kannst mir vertrauen!,,,,,,,,,,,,x,,,,,,,,2
P1,39,P1_39,Fürsorgepflicht,,,,x,,,,,,,,,,,,,,,,2
P1,40,P1_40,"Verschiedene Inhalte: Vertrauen ggf. Richtigkeit von Infos, Datenschutz etc.",,,,,,,,,,,,x,,,,,,,,2
P2,1,P2_01,Social Network ist kein privater Raum,x,,,,,,,,,,,,,,,,,,,2
P2,2,P2_02,Nur begrenzte Inhaltskontrolle (keine Willkür),,,,x,,,,,,,,,,,,,,,,2
P2,3,P2_03,"Meinungsfreiheit: Anspruch gegenüber Plattformenbetreiber oder gegenüber Staat, der reguliert",,,,x,,,,,x,,,,x,,,,,,,4
P2,4,P2_04,Plattformen müssen sich bekennen → bin ich neutral oder nicht?,,,,,,,,,x,,,,,,,,,,,2
P2,5,P2_05,Spezifisches Medienkontrollrecht,,,,x,,,,,x,,,,,,,,,,,3
P2,6,P2_06,Kommunikationsinteressen geht immer vor Privatinteressen,,,,,,,,,,,,,,,x,,,,,2
P2,7,P2_07,"Wenn öffentlicher Raum, dann Meinungsfreiheit - Was bedeutet das? z.B. Realnamenspflicht",,,,,,,,,x,,,,,,,,,,,2
P2,8,P2_08,"Unmittelbare Grundrechtbindung? Bei Facebook, Google etc.",,,,x,,,,,x,,,,x,,,,,,,4
P2,9,P2_09,Marktbeherrschung anstreben reicht nicht aus,,,,,,,,,,,,,,,,,,,x,2
P2,10,P2_10,Handlungsfreiheit Hausrecht/Geschäftsbedingungen,,,,x,,,,,,,,,,,,,,,,2
P2,11,P2_11,Meinungsfreiheit der Nutzer vs. Meinungfreiheit  der Plattformanbieter,,,,,,,,,,,,,x,,,,x,,,3
P2,12,P2_12,Zerschlagung ist denkbar/möglich,,,,x,,,,,x,,,,,,,,,,,3
P2,13,P2_13,Kommunikation als essenzielle Ressource,,,,,,,,,,,,,,,,,,,x,2
P2,14,P2_14,Annonymität/Kennzeichnungspflicht,,,,,,,,x,,,,,,,,,,,,2
P2,15,P2_15,Essentialität wird unterstellt (bei Facebook nicht),,,,,,,,,,,,,,,,,,,x,2
P2,16,P2_16,Entgrenzungsprozesse,x,,x,,,,,,,,,,,,,,,,,3
P2,17,P2_17,"Welchen Anspruch haben wir an den Kodex? Nicht international, sondern für Deutschland",,,,,x,,,,,,,,,,,,,,,2
P2,18,P2_18,Meinungsfreiheit als Abwehrrecht gegen den Staat  - neue Fragen bei digitalen Räumen,,,,x,,,,,,,,,x,,,,,,,3
P2,19,P2_19,"Was ist ein öffentlicher Raum? Flughafen, Presse",x,,,x,,,,,x,,,,,,,,,,,4
P2,20,P2_20,Wessen Haus ist das hier? Hausrecht z.B. China: staatliche Betriebe,,,,x,,,,,,,,,,,,,x,,,3
P2,21,P2_21,Welche Räume müssen geschützt werden?,,,,,,,,,x,,,,,,,x,,,,3
P2,22,P2_22,Globale Produkte/Anbieter haben kein Interesse an Differenzierung,x,,,,,,,,,,,,,,,,,,,2
P2,23,P2_23,Welche Mitsprache bei welcher Plattformen? Beispiel öffentlich rechtlich,,,,,,,,x,,,,,,,,,,,,2
P2,24,P2_24,"Gibt es Notwendigkeit, Normen und Werte zu erhalten auch auf Plattformen? Ja? Wie?",,,,,,,,,,,,,,x,,,,,,2
P2,25,P2_25,Fehlende Internationalität von Werten,x,,,,,,,,,,,,,x,,,,,,3
P2,26,P2_26,Wie Selbstregulierung zu diesem Ziel fördern? Anreize?,,,,,,,,,x,,,,,,,,,,,2
P2,27,P2_27,Durchsetzungsschwierigkeiten in sanktionsorientierten Regulierungssystemen,,,,x,,,,,,,,,,,,,,,,2
